target_id,class_label,split,bls_power,snr,period_days,duration_days,depth,transit_count,odd_even_depth_delta,v_shape_score,local_noise,depth_to_noise_ratio,phase_shape_kurtosis,bls_sde,secondary_eclipse_depth,centroid_shift,crowding_metric,gaia_neighbor_count,candidate_detected,predicted_class_rule,processing_status,failure_reason
candidate_c,stellar_variability_or_other,train,0.9792222595369953,7.037961647425092,13.461982456407522,0.01,0.0273644518032804,1.0,0.0,0.0,0.015058630811234255,1.81719388344826,0.3693663766422084,5.239611390263523,0.0,0.0,1.0,0.0,1,stellar_variability_or_other,success,
TIC-114749636,exoplanet_transit,train,1.0,184.78863773569452,4.60091976516634,0.25,0.00701677885295619,5.0,4.921779782840474e-05,0.0,0.0010972504383661226,6.394874504132922,0.30949140464838143,11.527087599466311,0.0,0.002,0.98,0.0,1,exoplanet_transit,success,
TIC-27848472,exoplanet_transit,train,1.0,542.3292404960173,1.8481099532878187,0.25,0.01131387442220122,14.0,5.7581123920069643e-05,0.0,0.001005911589624502,11.247384500684191,1.882907649795344,11.058867760118527,0.0,0.002,0.98,0.0,1,exoplanet_transit,success,
KIC-5881307,exoplanet_transit,train,1.0,5.699310475929444,0.7968878611999131,0.25,7.513289002027247e-05,33.0,0.0,0.0,0.000992219448347455,0.07572204933637067,0.0,4.854113856683394,0.0,0.002,0.98,0.0,0,stellar_variability_or_other,success,
KIC-3839488,exoplanet_transit,train,1.0,5.6588151763393295,5.095430778371955,0.05,0.0004415019724603451,5.0,0.0,0.0,0.0010082433683815519,0.4378922652068132,0.0,4.9037591264581675,0.0,0.002,0.98,0.0,0,stellar_variability_or_other,success,
KIC-6690836,exoplanet_transit,train,1.0,18.465209957685257,0.5689155533260054,0.112,0.00030993763621245775,47.0,1.0196200078138595e-05,0.0,0.0010049967246507612,0.3083966630042121,0.8680925965292645,11.902100481744338,0.0,0.002,0.98,0.0,1,stellar_variability_or_other,success,
KIC-7816935,exoplanet_transit,train,0.8670952478818407,4.5628838767667546,2.371409075294338,0.022,0.0003633671491255842,11.0,0.0,0.0,0.001010460132638555,0.35960562657404893,0.0,4.478032981778173,0.0,0.002,0.98,0.0,0,stellar_variability_or_other,success,
TIC-194203348,exoplanet_transit,train,1.0,22.66544902686953,1.1351665166516651,0.112,0.0005481896824770553,23.0,3.866847951505825e-05,0.0,0.0010045257635247296,0.545719883334341,-0.6134763060431676,10.054239550551378,0.0,0.002,0.98,0.0,1,stellar_variability_or_other,success,
TIC-233747840,exoplanet_transit,train,1.0,120.35260763136245,23.534006395614437,0.25,0.020710641725587085,1.0,0.0,0.0,0.0031202711710321776,6.637449308207421,-0.4909207421870678,5.852661223965877,0.0,0.002,0.98,0.0,1,exoplanet_transit,success,
TIC-160023,exoplanet_transit,train,1.0,127.3186173850825,6.75303963601365,0.25,0.004945963712171294,3.0,0.0,0.0,0.0010032794780013403,4.929796552825221,3.816033488816224,14.266348139050674,0.0,0.002,0.98,0.0,1,stellar_variability_or_other,success,
TIC-73540072,exoplanet_transit,train,1.0,66.00306966493312,1.2433216225363006,0.112,0.0016330369191197196,21.0,2.792051173172716e-05,0.0,0.001003189032858144,1.627845665803485,1.6773070640467864,12.765683308098364,0.0,0.002,0.98,0.0,1,stellar_variability_or_other,success,
KIC-11499228,exoplanet_transit,train,1.0,6.272890740826432,0.5047839411183069,0.25,6.644352749072787e-05,53.0,0.0,0.0,0.0009993756254300754,0.06648503905839638,0.0,5.558787408368276,0.0,0.002,0.98,0.0,0,stellar_variability_or_other,success,
KIC-10079420,exoplanet_transit,train,1.0,203.00291443298008,10.885259840313772,0.25,0.011184526567711801,2.0,0.0,0.0,0.0012332019291935183,9.069501354920996,0.8253229643446613,10.682208060117574,0.0,0.002,0.98,0.0,1,exoplanet_transit,success,
KIC-12109267,exoplanet_transit,train,1.0,4.786448778867191,10.180576063666972,0.022,0.0007189429312938777,2.0,0.0,0.0,0.0009963394821261972,0.721584303534421,0.0,3.603533867877795,0.0,0.002,0.98,0.0,0,stellar_variability_or_other,success,
TIC-420174131,exoplanet_transit,train,1.0,77.46063665710506,3.663399517798893,0.112,0.003390711102206856,7.0,0.00010289859377698996,0.0,0.0010010610653967097,3.3871171494050203,-3.0,8.80935097282639,0.0,0.002,0.98,0.0,1,stellar_variability_or_other,success,
TIC-260655847,exoplanet_transit,train,1.0,99.97295118618912,14.522781149112925,0.25,0.005485005219794128,1.0,0.0,0.0,0.0010026924988842697,5.470276506403988,0.10836203334555261,7.342173897141894,0.0,0.002,0.98,0.0,1,stellar_variability_or_other,success,
TIC-285505979,exoplanet_transit,train,1.0,32.18110645323919,4.707031489779633,0.112,0.0016738468479513872,5.0,0.00021059953582736046,0.0,0.0010045444596726882,1.666274530543704,-0.71038556563632,11.925874408483775,0.0,0.002,0.98,0.0,1,stellar_variability_or_other,success,
